experiment,process_create,process_term,reg_create_key,reg_write,file_create,image_load,reg_delete_key,net_connect,reg_delete_value,year,label,test
E1164,1.0,1.0,1.0,4.0,29.0,83.0,0.0,0.0,0.0,2017.0,malicious,False
E1165,1.0,0.0,114.0,6.0,113.0,143.0,0.0,1.0,0.0,2023.0,benign,False
E1166,1.0,0.0,0.0,0.0,31.0,67.0,0.0,0.0,0.0,2024.0,malicious,True
E1167,2.0,2.0,5.0,11.0,68.0,104.0,0.0,4.0,2.0,2017.0,malicious,True
E1168,0.0,1.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,2022.0,benign,False
E1169,1.0,1.0,1.0,4.0,47.0,97.0,0.0,0.0,0.0,2017.0,malicious,False
E117,0.0,0.0,2.0,1.0,5224.0,36.0,0.0,9.0,0.0,2017.0,malicious,False
E1170,1.0,1.0,1.0,4.0,47.0,97.0,0.0,0.0,0.0,2024.0,malicious,True
E1171,0.0,0.0,0.0,0.0,10.0,22.0,0.0,0.0,0.0,2017.0,malicious,False
E1172,7.0,1.0,2.0,5.0,71.0,224.0,0.0,0.0,0.0,2017.0,malicious,False
E1173,3.0,3.0,2.0,4.0,42.0,96.0,0.0,2.0,0.0,2017.0,malicious,False
E1174,0.0,1.0,3.0,5.0,29.0,58.0,0.0,5.0,0.0,2017.0,malicious,False
E1175,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2024.0,benign,False
E1176,0.0,0.0,8.0,8.0,424.0,35.0,0.0,0.0,0.0,2017.0,malicious,False
E1177,1.0,2.0,118.0,1.0,32.0,115.0,1.0,3.0,1.0,2020.0,benign,False
E1178,1.0,1.0,0.0,0.0,69.0,59.0,0.0,0.0,0.0,2017.0,malicious,False
E1179,1.0,1.0,3.0,7.0,31.0,95.0,0.0,14.0,0.0,2017.0,malicious,True
E118,0.0,0.0,0.0,2.0,73.0,22.0,0.0,0.0,0.0,2017.0,malicious,False
E1180,0.0,1.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,2022.0,benign,False
E1181,284.0,259.0,0.0,0.0,1337.0,5415.0,0.0,0.0,0.0,2017.0,malicious,True
E1182,0.0,0.0,8.0,8.0,474.0,35.0,0.0,0.0,0.0,2017.0,malicious,True
E1183,0.0,0.0,10.0,10.0,463.0,35.0,0.0,0.0,0.0,2017.0,malicious,True
E1184,11.0,6.0,0.0,0.0,0.0,339.0,0.0,0.0,0.0,2017.0,malicious,False
E1185,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,malicious,False
E1186,0.0,0.0,8.0,8.0,478.0,35.0,0.0,0.0,0.0,2017.0,malicious,True
E1187,0.0,0.0,0.0,0.0,3.0,28.0,0.0,0.0,0.0,2021.0,malicious,False
E1188,1.0,2.0,0.0,0.0,10.0,36.0,0.0,0.0,0.0,2017.0,malicious,False
E1189,7.0,8.0,24.0,32.0,63.0,224.0,0.0,0.0,0.0,2017.0,malicious,True
E119,1.0,1.0,0.0,0.0,1.0,43.0,0.0,0.0,0.0,2023.0,benign,False
E1190,4.0,5.0,17.0,4.0,136.0,239.0,0.0,0.0,0.0,2024.0,benign,False
E1191,0.0,0.0,8.0,8.0,456.0,35.0,0.0,0.0,0.0,2017.0,malicious,False
E1192,0.0,0.0,0.0,0.0,7.0,22.0,0.0,0.0,0.0,2021.0,malicious,False
E1193,0.0,1.0,0.0,0.0,5.0,23.0,0.0,0.0,0.0,2023.0,benign,False
E1194,1.0,2.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,2023.0,benign,False
E1195,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2024.0,benign,False
E1196,1.0,1.0,1.0,4.0,42.0,97.0,0.0,0.0,0.0,2024.0,malicious,True
E1197,0.0,0.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,2023.0,benign,False
E1198,0.0,1.0,0.0,0.0,34.0,58.0,0.0,4.0,0.0,2017.0,malicious,True
E1199,1.0,1.0,0.0,0.0,70.0,59.0,0.0,0.0,0.0,2017.0,malicious,False
E12,0.0,0.0,0.0,0.0,22.0,44.0,0.0,0.0,0.0,2017.0,malicious,False
E120,45.0,39.0,9.0,13.0,540.0,894.0,0.0,16.0,0.0,2017.0,malicious,False
E1200,7.0,3.0,28.0,40.0,9406.0,400.0,1.0,0.0,1.0,2017.0,malicious,False
E1201,0.0,0.0,8.0,8.0,442.0,35.0,0.0,0.0,0.0,2017.0,malicious,True
E1202,0.0,1.0,3.0,3.0,24.0,49.0,1.0,0.0,0.0,2017.0,malicious,True
E1203,2.0,3.0,111.0,0.0,67.0,141.0,0.0,3.0,0.0,2020.0,malicious,False
E1204,1.0,2.0,111.0,0.0,66.0,103.0,0.0,3.0,0.0,2017.0,malicious,False
E1205,0.0,0.0,3.0,7.0,7.0,51.0,0.0,3.0,0.0,2021.0,malicious,False
E1206,1.0,2.0,0.0,0.0,6.0,44.0,0.0,0.0,0.0,2024.0,benign,True
E1207,1.0,2.0,0.0,0.0,7.0,57.0,0.0,0.0,0.0,2022.0,benign,False
E1208,1.0,2.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,2024.0,benign,False
E1209,1.0,2.0,115.0,0.0,33.0,115.0,0.0,3.0,1.0,2024.0,benign,False
E121,0.0,1.0,64.0,0.0,11.0,57.0,0.0,2.0,0.0,2017.0,malicious,True
E1210,0.0,1.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,2023.0,benign,False
E1211,0.0,0.0,2.0,2.0,49.0,68.0,0.0,0.0,0.0,2017.0,malicious,True
E1212,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,malicious,False
E1213,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2024.0,benign,True
E1214,1.0,2.0,0.0,0.0,15.0,56.0,0.0,0.0,0.0,2023.0,benign,False
E1215,1.0,2.0,116.0,2.0,62.0,93.0,0.0,3.0,0.0,2023.0,malicious,False
E1216,1.0,0.0,0.0,0.0,74.0,93.0,0.0,0.0,0.0,2024.0,benign,True
E1217,2.0,3.0,112.0,1.0,120.0,172.0,0.0,3.0,0.0,2017.0,malicious,False
